Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Bulgaria,BGR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,61.8853159708659
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,15883.8618545581
Bulgaria,BGR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9810.66890602451
Bulgaria,BGR,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,19.749565552763
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.092
Burkina Faso,BFA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,58.921
Burkina Faso,BFA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,63.222
Burkina Faso,BFA,Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,..
Burkina Faso,BFA,Net migration,SM.POP.NETM,-24957
Burkina Faso,BFA,Trade (% of GDP),NE.TRD.GNFS.ZS,64.8223211154384
Burkina Faso,BFA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,28.8622955091639
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,882.689810086163
Burkina Faso,BFA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,744.165760639938
Burkina Faso,BFA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,22.5438564249502
